,#,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
0,1,Grass,Poison,45,49,49,65,65,45,1,False,274
1,2,Grass,Poison,60,62,63,80,80,60,1,False,346
2,3,Grass,Poison,80,82,83,100,100,80,1,False,446
3,3,Grass,Poison,80,100,123,122,120,80,1,False,546
4,4,Fire,,39,52,43,60,50,65,1,False,271
5,5,Fire,,58,64,58,80,65,80,1,False,348
6,6,Fire,Flying,78,84,78,109,85,100,1,False,457
7,6,Fire,Dragon,78,130,111,130,85,100,1,False,557
8,6,Fire,Flying,78,104,78,159,115,100,1,False,557
9,7,Water,,44,48,65,50,64,43,1,False,271
10,8,Water,,59,63,80,65,80,58,1,False,347
11,9,Water,,79,83,100,85,105,78,1,False,452
12,9,Water,,79,103,120,135,115,78,1,False,552
13,10,Bug,,45,30,35,20,20,45,1,False,151
14,11,Bug,,50,20,55,25,25,30,1,False,156
15,12,Bug,Flying,60,45,50,90,80,70,1,False,336
16,13,Bug,Poison,40,35,30,20,20,50,1,False,156
17,14,Bug,Poison,45,25,50,25,25,35,1,False,161
18,15,Bug,Poison,65,90,40,45,80,75,1,False,331
19,15,Bug,Poison,65,150,40,15,80,145,1,False,431
20,16,Normal,Flying,40,45,40,35,35,56,1,False,212
21,17,Normal,Flying,63,60,55,50,50,71,1,False,287
22,18,Normal,Flying,83,80,75,70,70,101,1,False,397
23,18,Normal,Flying,83,80,80,135,80,121,1,False,497
24,19,Normal,,30,56,35,25,35,72,1,False,224
25,20,Normal,,55,81,60,50,70,97,1,False,359
26,21,Normal,Flying,40,60,30,31,31,70,1,False,223
27,22,Normal,Flying,65,90,65,61,61,100,1,False,378
28,23,Poison,,35,60,44,40,54,55,1,False,254
29,24,Poison,,60,85,69,65,79,80,1,False,379
30,25,Electric,,35,55,40,50,50,90,1,False,286
31,26,Electric,,60,90,55,90,80,110,1,False,426
32,27,Ground,,50,75,85,20,30,40,1,False,251
33,28,Ground,,75,100,110,45,55,65,1,False,376
34,29,Poison,,55,47,52,40,40,41,1,False,221
35,30,Poison,,70,62,67,55,55,56,1,False,296
36,31,Poison,Ground,90,92,87,75,85,76,1,False,416
37,32,Poison,,46,57,40,40,40,50,1,False,228
38,33,Poison,,61,72,57,55,55,65,1,False,305
39,34,Poison,Ground,81,102,77,85,75,85,1,False,425
40,35,Fairy,,70,45,48,60,65,35,1,False,254
41,36,Fairy,,95,70,73,95,90,60,1,False,389
42,37,Fire,,38,41,40,50,65,65,1,False,262
43,38,Fire,,73,76,75,81,100,100,1,False,433
44,39,Normal,Fairy,115,45,20,45,25,20,1,False,156
45,40,Normal,Fairy,140,70,45,85,50,45,1,False,296
46,41,Poison,Flying,40,45,35,30,40,55,1,False,206
47,42,Poison,Flying,75,80,70,65,75,90,1,False,381
48,43,Grass,Poison,45,50,55,75,65,30,1,False,276
49,44,Grass,Poison,60,65,70,85,75,40,1,False,336
50,45,Grass,Poison,75,80,85,110,90,50,1,False,416
51,46,Bug,Grass,35,70,55,45,55,25,1,False,251
52,47,Bug,Grass,60,95,80,60,80,30,1,False,346
53,48,Bug,Poison,60,55,50,40,55,45,1,False,246
54,49,Bug,Poison,70,65,60,90,75,90,1,False,381
55,50,Ground,,10,55,25,35,45,95,1,False,256
56,51,Ground,,35,80,50,50,70,120,1,False,371
57,52,Normal,,40,45,35,40,40,90,1,False,251
58,53,Normal,,65,70,60,65,65,115,1,False,376
59,54,Water,,50,52,48,65,50,55,1,False,271
60,55,Water,,80,82,78,95,80,85,1,False,421
61,56,Fighting,,40,80,35,35,45,70,1,False,266
62,57,Fighting,,65,105,60,60,70,95,1,False,391
63,58,Fire,,55,70,45,70,50,60,1,False,296
64,59,Fire,,90,110,80,100,80,95,1,False,466
65,60,Water,,40,50,40,40,40,90,1,False,261
66,61,Water,,65,65,65,50,50,90,1,False,321
67,62,Water,Fighting,90,95,95,70,90,70,1,False,421
68,63,Psychic,,25,20,15,105,55,90,1,False,286
69,64,Psychic,,40,35,30,120,70,105,1,False,361
70,65,Psychic,,55,50,45,135,95,120,1,False,446
71,65,Psychic,,55,50,65,175,95,150,1,False,536
72,66,Fighting,,70,80,50,35,35,35,1,False,236
73,67,Fighting,,80,100,70,50,60,45,1,False,326
74,68,Fighting,,90,130,80,65,85,55,1,False,416
75,69,Grass,Poison,50,75,35,70,30,40,1,False,251
76,70,Grass,Poison,65,90,50,85,45,55,1,False,326
77,71,Grass,Poison,80,105,65,100,70,70,1,False,411
78,72,Water,Poison,40,40,35,50,100,70,1,False,296
79,73,Water,Poison,80,70,65,80,120,100,1,False,436
80,74,Rock,Ground,40,80,100,30,30,20,1,False,261
81,75,Rock,Ground,55,95,115,45,45,35,1,False,336
82,76,Rock,Ground,80,120,130,55,65,45,1,False,416
83,77,Fire,,50,85,55,65,65,90,1,False,361
84,78,Fire,,65,100,70,80,80,105,1,False,436
85,79,Water,Psychic,90,65,65,40,40,15,1,False,226
86,80,Water,Psychic,95,75,110,100,80,30,1,False,396
87,80,Water,Psychic,95,75,180,130,80,30,1,False,496
88,81,Electric,Steel,25,35,70,95,55,45,1,False,301
89,82,Electric,Steel,50,60,95,120,70,70,1,False,416
90,83,Normal,Flying,52,65,55,58,62,60,1,False,301
91,84,Normal,Flying,35,85,45,35,35,75,1,False,276
92,85,Normal,Flying,60,110,70,60,60,100,1,False,401
93,86,Water,,65,45,55,45,70,45,1,False,261
94,87,Water,Ice,90,70,80,70,95,70,1,False,386
95,88,Poison,,80,80,50,40,50,25,1,False,246
96,89,Poison,,105,105,75,65,100,50,1,False,396
97,90,Water,,30,65,100,45,25,40,1,False,276
98,91,Water,Ice,50,95,180,85,45,70,1,False,476
99,92,Ghost,Poison,30,35,30,100,35,80,1,False,281
100,93,Ghost,Poison,45,50,45,115,55,95,1,False,361
101,94,Ghost,Poison,60,65,60,130,75,110,1,False,441
102,94,Ghost,Poison,60,65,80,170,95,130,1,False,541
103,95,Rock,Ground,35,45,160,30,45,70,1,False,351
104,96,Psychic,,60,48,45,43,90,42,1,False,269
105,97,Psychic,,85,73,70,73,115,67,1,False,399
106,98,Water,,30,105,90,25,25,50,1,False,296
107,99,Water,,55,130,115,50,50,75,1,False,421
108,100,Electric,,40,30,50,55,55,100,1,False,291
109,101,Electric,,60,50,70,80,80,140,1,False,421
110,102,Grass,Psychic,60,40,80,60,45,40,1,False,266
111,103,Grass,Psychic,95,95,85,125,65,55,1,False,426
112,104,Ground,,50,50,95,40,50,35,1,False,271
113,105,Ground,,60,80,110,50,80,45,1,False,366
114,106,Fighting,,50,120,53,35,110,87,1,False,406
115,107,Fighting,,50,105,79,35,110,76,1,False,406
116,108,Normal,,90,55,75,60,75,30,1,False,296
117,109,Poison,,40,65,95,60,45,35,1,False,301
118,110,Poison,,65,90,120,85,70,60,1,False,426
119,111,Ground,Rock,80,85,95,30,30,25,1,False,266
120,112,Ground,Rock,105,130,120,45,45,40,1,False,381
121,113,Normal,,250,5,5,35,105,50,1,False,201
122,114,Grass,,65,55,115,100,40,60,1,False,371
123,115,Normal,,105,95,80,40,80,90,1,False,386
124,115,Normal,,105,125,100,60,100,100,1,False,486
